template_id,org_slug,subscription_id,provider,plan_name,display_name,category,status,start_date,end_date,billing_cycle,currency,source_currency,seats,pricing_model,unit_price,yearly_price,discount_type,discount_value,auto_renew,payment_method,invoice_id_last,owner_email,department,renewal_date,contract_id,notes
tmpl_chatgpt_free,,sub_chatgpt_free,chatgpt_plus,FREE,ChatGPT Free,ai,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Basic ChatGPT access with GPT-3.5
tmpl_chatgpt_plus,,sub_chatgpt_plus,chatgpt_plus,PLUS,ChatGPT Plus,ai,active,,,monthly,USD,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,ChatGPT Plus with GPT-4 access and priority
tmpl_chatgpt_team,,sub_chatgpt_team,chatgpt_plus,TEAM,ChatGPT Team,ai,active,,,monthly,USD,USD,0,PER_SEAT,25,300,,,TRUE,,,,,,,Team workspace with GPT-4 and collaboration features
tmpl_chatgpt_enterprise,,sub_chatgpt_enterprise,chatgpt_plus,ENTERPRISE,ChatGPT Enterprise,ai,active,,,annual,USD,USD,0,PER_SEAT,60,720,,,TRUE,,,,,,,Enterprise features with unlimited usage and SSO
tmpl_claude_free,,sub_claude_free,claude_pro,FREE,Claude Free,ai,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier with Claude Sonnet access
tmpl_claude_pro,,sub_claude_pro,claude_pro,PRO,Claude Pro,ai,active,,,monthly,USD,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,Claude Pro with priority access to all models
tmpl_claude_team,,sub_claude_team,claude_pro,TEAM,Claude Team,ai,active,,,monthly,USD,USD,0,PER_SEAT,25,300,,,TRUE,,,,,,,Team workspace with usage controls and collaboration
tmpl_claude_enterprise,,sub_claude_enterprise,claude_pro,ENTERPRISE,Claude Enterprise,ai,active,,,annual,USD,USD,0,PER_SEAT,60,720,,,TRUE,,,,,,,Enterprise deployment with dedicated support
tmpl_canva_free,,sub_canva_free,canva,FREE,Canva Free,design,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Basic design tools with limited templates
tmpl_canva_pro,,sub_canva_pro,canva,PRO,Canva Pro,design,active,,,monthly,USD,USD,0,FLAT_FEE,12.99,155.88,,,TRUE,,,,,,,Pro features with premium templates and brand kit
tmpl_canva_pro_annual,,sub_canva_pro_annual,canva,PRO,Canva Pro Annual,design,active,,,annual,USD,USD,0,FLAT_FEE,119.99,119.99,percent,17,TRUE,,,,,,,Annual billing with 17% discount
tmpl_canva_team,,sub_canva_team,canva,TEAM,Canva for Teams,design,active,,,monthly,USD,USD,0,PER_SEAT,14.99,179.88,,,TRUE,,,,,,,Team collaboration with shared brand assets
tmpl_slack_free,,sub_slack_free,slack,FREE,Slack Free,communication,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier with 90-day message history
tmpl_slack_pro,,sub_slack_pro,slack,PRO,Slack Pro,communication,active,,,monthly,USD,USD,0,PER_SEAT,8.75,105,,,TRUE,,,,,,,Unlimited message history and apps
tmpl_slack_business,,sub_slack_business,slack,BUSINESS_PLUS,Slack Business+,communication,active,,,monthly,USD,USD,0,PER_SEAT,15,180,,,TRUE,,,,,,,Advanced admin and compliance features
tmpl_slack_enterprise,,sub_slack_enterprise,slack,ENTERPRISE_GRID,Slack Enterprise Grid,communication,active,,,annual,USD,USD,0,PER_SEAT,20,240,,,TRUE,,,,,,,Enterprise-grade security and unlimited workspaces
tmpl_figma_free,,sub_figma_free,figma,FREE,Figma Free,design,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Starter plan with 3 Figma and FigJam files
tmpl_figma_pro,,sub_figma_pro,figma,PROFESSIONAL,Figma Professional,design,active,,,monthly,USD,USD,0,PER_SEAT,15,180,,,TRUE,,,,,,,Unlimited Figma files and version history
tmpl_figma_org,,sub_figma_org,figma,ORGANIZATION,Figma Organization,design,active,,,monthly,USD,USD,0,PER_SEAT,45,540,,,TRUE,,,,,,,Organization-wide design system and libraries
tmpl_figma_enterprise,,sub_figma_enterprise,figma,ENTERPRISE,Figma Enterprise,design,active,,,annual,USD,USD,0,PER_SEAT,75,900,,,TRUE,,,,,,,Enterprise security and dedicated support
tmpl_notion_free,,sub_notion_free,notion,FREE,Notion Free,productivity,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Personal workspace with unlimited blocks
tmpl_notion_plus,,sub_notion_plus,notion,PLUS,Notion Plus,productivity,active,,,monthly,USD,USD,0,PER_SEAT,10,120,,,TRUE,,,,,,,Unlimited file uploads and 30-day version history
tmpl_notion_business,,sub_notion_business,notion,BUSINESS,Notion Business,productivity,active,,,monthly,USD,USD,0,PER_SEAT,18,216,,,TRUE,,,,,,,Advanced permissions and SAML SSO
tmpl_notion_enterprise,,sub_notion_enterprise,notion,ENTERPRISE,Notion Enterprise,productivity,active,,,annual,USD,USD,0,PER_SEAT,25,300,,,TRUE,,,,,,,Enterprise analytics and dedicated support
tmpl_github_free,,sub_github_free,github,FREE,GitHub Free,developer_tools,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Unlimited public and private repositories
tmpl_github_pro,,sub_github_pro,github,PRO,GitHub Pro,developer_tools,active,,,monthly,USD,USD,0,FLAT_FEE,4,48,,,TRUE,,,,,,,Advanced code review and insights
tmpl_github_team,,sub_github_team,github,TEAM,GitHub Team,developer_tools,active,,,monthly,USD,USD,0,PER_SEAT,4,48,,,TRUE,,,,,,,Team access controls and code review
tmpl_github_enterprise,,sub_github_enterprise,github,ENTERPRISE,GitHub Enterprise,developer_tools,active,,,annual,USD,USD,0,PER_SEAT,21,252,,,TRUE,,,,,,,Enterprise-grade security and compliance
tmpl_cursor_free,,sub_cursor_free,cursor,FREE,Cursor Free,developer_tools,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free AI code editor with basic features
tmpl_cursor_pro,,sub_cursor_pro,cursor,PRO,Cursor Pro,developer_tools,active,,,monthly,USD,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,Pro features with unlimited AI requests
tmpl_cursor_business,,sub_cursor_business,cursor,BUSINESS,Cursor Business,developer_tools,active,,,monthly,USD,USD,0,PER_SEAT,40,480,,,TRUE,,,,,,,Business tier with team collaboration
tmpl_linear_free,,sub_linear_free,linear,FREE,Linear Free,project_management,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier for small teams up to 10 members
tmpl_linear_standard,,sub_linear_standard,linear,STANDARD,Linear Standard,project_management,active,,,monthly,USD,USD,0,PER_SEAT,8,96,,,TRUE,,,,,,,Unlimited users with advanced workflows
tmpl_linear_plus,,sub_linear_plus,linear,PLUS,Linear Plus,project_management,active,,,monthly,USD,USD,0,PER_SEAT,14,168,,,TRUE,,,,,,,Enhanced security and custom integrations
tmpl_loom_starter,,sub_loom_starter,loom,STARTER,Loom Starter,video,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free video messaging up to 25 videos
tmpl_loom_business,,sub_loom_business,loom,BUSINESS,Loom Business,video,active,,,monthly,USD,USD,0,PER_SEAT,12.5,150,,,TRUE,,,,,,,Unlimited videos and advanced analytics
tmpl_loom_enterprise,,sub_loom_enterprise,loom,ENTERPRISE,Loom Enterprise,video,active,,,annual,USD,USD,0,PER_SEAT,16.67,200,,,TRUE,,,,,,,Enterprise features with SSO and custom retention
tmpl_vercel_hobby,,sub_vercel_hobby,vercel,HOBBY,Vercel Hobby,infrastructure,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier for personal projects
tmpl_vercel_pro,,sub_vercel_pro,vercel,PRO,Vercel Pro,infrastructure,active,,,monthly,USD,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,Pro deployment features with analytics
tmpl_vercel_enterprise,,sub_vercel_enterprise,vercel,ENTERPRISE,Vercel Enterprise,infrastructure,active,,,annual,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Custom enterprise pricing with SLA
tmpl_zapier_free,,sub_zapier_free,zapier,FREE,Zapier Free,automation,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier with 100 tasks per month
tmpl_zapier_starter,,sub_zapier_starter,zapier,STARTER,Zapier Starter,automation,active,,,monthly,USD,USD,0,FLAT_FEE,29.99,359.88,,,TRUE,,,,,,,750 tasks per month with multi-step Zaps
tmpl_zapier_professional,,sub_zapier_professional,zapier,PROFESSIONAL,Zapier Professional,automation,active,,,monthly,USD,USD,0,FLAT_FEE,73.5,882,,,TRUE,,,,,,,2000 tasks per month with premium apps
tmpl_zapier_team,,sub_zapier_team,zapier,TEAM,Zapier Team,automation,active,,,monthly,USD,USD,0,FLAT_FEE,103.5,1242,,,TRUE,,,,,,,Unlimited users with 50000 tasks per month
tmpl_jira_free,,sub_jira_free,jira,FREE,Jira Free,project_management,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free for up to 10 users
tmpl_jira_standard,,sub_jira_standard,jira,STANDARD,Jira Standard,project_management,active,,,monthly,USD,USD,0,PER_SEAT,8.15,97.8,,,TRUE,,,,,,,Standard features with 250GB storage
tmpl_jira_premium,,sub_jira_premium,jira,PREMIUM,Jira Premium,project_management,active,,,monthly,USD,USD,0,PER_SEAT,16,192,,,TRUE,,,,,,,Advanced roadmaps and 24/7 support
tmpl_confluence_standard,,sub_confluence_standard,confluence,STANDARD,Confluence Standard,communication,active,,,monthly,USD,USD,0,PER_SEAT,6.05,72.6,,,TRUE,,,,,,,Team collaboration with unlimited pages
tmpl_confluence_premium,,sub_confluence_premium,confluence,PREMIUM,Confluence Premium,communication,active,,,monthly,USD,USD,0,PER_SEAT,11.55,138.6,,,TRUE,,,,,,,Premium features with analytics and automation
tmpl_copilot_free,,sub_copilot_free,copilot,FREE,Copilot Free,ai,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Limited AI code suggestions
tmpl_copilot_individual,,sub_copilot_individual,copilot,INDIVIDUAL,Copilot Individual,ai,active,,,monthly,USD,USD,0,FLAT_FEE,10,100,percent,17,TRUE,,,,,,,Unlimited AI code suggestions
tmpl_copilot_business,,sub_copilot_business,copilot,BUSINESS,Copilot Business,ai,active,,,monthly,USD,USD,0,PER_SEAT,19,228,,,TRUE,,,,,,,Organization features with SSO
tmpl_copilot_enterprise,,sub_copilot_enterprise,copilot,ENTERPRISE,Copilot Enterprise,ai,active,,,monthly,USD,USD,0,PER_SEAT,39,468,,,TRUE,,,,,,,Fine-tuned models and custom features
tmpl_miro_free,,sub_miro_free,miro,FREE,Miro Free,design,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,3 editable boards
tmpl_miro_starter,,sub_miro_starter,miro,STARTER,Miro Starter,design,active,,,monthly,USD,USD,0,PER_SEAT,8,96,,,TRUE,,,,,,,Unlimited boards with basic features
tmpl_miro_business,,sub_miro_business,miro,BUSINESS,Miro Business,design,active,,,monthly,USD,USD,0,PER_SEAT,16,192,,,TRUE,,,,,,,SSO and advanced permissions
tmpl_adobe_photography,,sub_adobe_photography,adobe_cc,PHOTOGRAPHY,Adobe Photography,design,active,,,monthly,USD,USD,0,FLAT_FEE,9.99,119.88,,,TRUE,,,,,,,Lightroom and Photoshop with 20GB storage
tmpl_adobe_allapps,,sub_adobe_allapps,adobe_cc,ALL_APPS,Adobe All Apps,design,active,,,monthly,USD,USD,0,FLAT_FEE,59.99,659.88,percent,8,TRUE,,,,,,,All Creative Cloud apps with 100GB storage
tmpl_asana_free,,sub_asana_free,asana,FREE,Asana Free,project_management,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Basic tasks for up to 15 members
tmpl_asana_premium,,sub_asana_premium,asana,PREMIUM,Asana Premium,project_management,active,,,monthly,USD,USD,0,PER_SEAT,10.99,131.88,,,TRUE,,,,,,,Timeline and workflow features
tmpl_monday_free,,sub_monday_free,monday,FREE,Monday Free,project_management,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,500MB storage with 2 seats
tmpl_monday_basic,,sub_monday_basic,monday,BASIC,Monday Basic,project_management,active,,,monthly,USD,USD,0,PER_SEAT,9,108,,,TRUE,,,,,,,5GB storage with essential features
tmpl_zoom_free,,sub_zoom_free,zoom,FREE,Zoom Free,communication,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,40-minute meetings with 100 participants
tmpl_zoom_pro,,sub_zoom_pro,zoom,PRO,Zoom Pro,communication,active,,,monthly,USD,USD,0,FLAT_FEE,15.99,191.88,,,TRUE,,,,,,,30-hour meetings with 100 participants
tmpl_zoom_business,,sub_zoom_business,zoom,BUSINESS,Zoom Business,communication,active,,,monthly,USD,USD,0,PER_SEAT,21.99,263.88,,,TRUE,,,,,,,30-hour meetings with 300 participants
tmpl_teams_free,,sub_teams_free,teams,FREE,Teams Free,communication,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,5GB storage with 60-minute meetings
tmpl_teams_essentials,,sub_teams_essentials,teams,ESSENTIALS,Teams Essentials,communication,active,,,monthly,USD,USD,0,PER_SEAT,4,48,,,TRUE,,,,,,,10GB storage with 30-hour meetings
tmpl_gitlab_free,,sub_gitlab_free,gitlab,FREE,GitLab Free,developer_tools,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,5GB per project
tmpl_gitlab_premium,,sub_gitlab_premium,gitlab,PREMIUM,GitLab Premium,developer_tools,active,,,monthly,USD,USD,0,PER_SEAT,29,348,,,TRUE,,,,,,,50GB with code owners
tmpl_netlify_free,,sub_netlify_free,netlify,FREE,Netlify Starter,infrastructure,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,100GB bandwidth
tmpl_netlify_pro,,sub_netlify_pro,netlify,PRO,Netlify Pro,infrastructure,active,,,monthly,USD,USD,0,FLAT_FEE,19,228,,,TRUE,,,,,,,400GB bandwidth
tmpl_railway_hobby,,sub_railway_hobby,railway,HOBBY,Railway Hobby,infrastructure,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,1GB RAM with $5 credit
tmpl_railway_pro,,sub_railway_pro,railway,PRO,Railway Pro,infrastructure,active,,,monthly,USD,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,100GB with team features
tmpl_supabase_free,,sub_supabase_free,supabase,FREE,Supabase Free,infrastructure,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,500MB database with 1GB storage
tmpl_supabase_pro,,sub_supabase_pro,supabase,PRO,Supabase Pro,infrastructure,active,,,monthly,USD,USD,0,FLAT_FEE,25,300,,,TRUE,,,,,,,8GB database with 100GB storage
